id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl
1,Wirda Sapitri,Bang.hotman.bantu.dong.jesika.supaya.bebas.kasian.masa.depanya.hancur.tangkap.ayah.mirna.yg.meyogok.,UgxNG-uiH-r-jV0qdD94AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgxNG-uiH-r-jV0qdD94AaABAg,10/7/2023 14:29,0,Bang.hotman.bantu.dong.jesika.supaya.bebas.kasian.masa.depanya.hancur.tangkap.ayah.mirna.yg.meyogok.,http://www.youtube.com/channel/UC5h6W2AnYnE6LEQQKWxONqA
2,ferry arbiancha,Minta grasi= ngaku membunuh,UgyhQfBQhqlrgFcqubp4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgyhQfBQhqlrgFcqubp4AaABAg,10/7/2023 13:26,0,Minta grasi= ngaku membunuh,http://www.youtube.com/channel/UC5Xqm8BoeOmf5tmvEmxpMSg
3,Rahmansyah Wilan,"Iya, di dunia hukum dia tidak akan mendapatkan keadilan kecuali jika pemimpin kedepan nya ada niat membongkar kasus ini dan dia dianggap tidak bersalah tapi kan dia punya Tuhan dan yakin lah dimata Tuhan dia tidak bersalah dan terbukti kasus nya mulai lagi diperbincangkan!",Ugxjc_Kka9IR6B0PFnR4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugxjc_Kka9IR6B0PFnR4AaABAg,10/7/2023 11:44,0,"Iya, di dunia hukum dia tidak akan mendapatkan keadilan kecuali jika pemimpin kedepan nya ada niat membongkar kasus ini dan dia dianggap tidak bersalah tapi kan dia punya Tuhan dan yakin lah dimata Tuhan dia tidak bersalah dan terbukti kasus nya mulai lagi diperbincangkan!",http://www.youtube.com/channel/UC8vNo7_f07-zwG6FF0SYiSA
4,Antoni Arianto,"asam lambung itu, buktinya ada luka lama pada lambung pada saat diperiksa oleh ahli forensik kasus dagelan krisna mukti tukang setting skenario kasus, kombes pansos. jessica korban bukan pelaku bukti tidak ada hanya keyakinan hakim semua persidangan dagelan masih mending srimulat",UgzA3HiTDdvGnp4SX8V4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgzA3HiTDdvGnp4SX8V4AaABAg,10/7/2023 8:35,0,"asam lambung itu, buktinya ada luka lama pada lambung pada saat diperiksa oleh ahli forensik kasus dagelan krisna mukti tukang setting skenario kasus, kombes pansos. jessica korban bukan pelaku bukti tidak ada hanya keyakinan hakim semua persidangan dagelan masih mending srimulat",http://www.youtube.com/channel/UC0z1tmV9x7d-baQU1KC4GEg
5,gina wijaya,Sabar buat mama jes...hukum alam akan bekerja mama jes...,Ugzsh_VSWqqfYDvlTsR4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugzsh_VSWqqfYDvlTsR4AaABAg,10/7/2023 7:13,0,Sabar buat mama jes...hukum alam akan bekerja mama jes...,http://www.youtube.com/channel/UCKeTeQ0MxKjQLe2Ahz3Apyg
6,ranti varissa ananda,Kalau tdk salah utk apa kita bilg kita salah lebih baik dalam penjara 100 tahun dari pada kita mengakui hal yg TDK kita lakukan,Ugz-Rm6qGAKGj1qjg-F4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugz-Rm6qGAKGj1qjg-F4AaABAg,10/7/2023 4:09,0,Kalau tdk salah utk apa kita bilg kita salah lebih baik dalam penjara 100 tahun dari pada kita mengakui hal yg TDK kita lakukan,http://www.youtube.com/channel/UCC7Ztdk-U8tIgwI2PgnUV8Q
7,ranti varissa ananda,"Saya tdk meminta Jesika di bebaskan tapi tunjukkan pada kami siapa pelaku sebenarnya apa yg terjadi sebenarnya fakta itu yg kami minta tapi jika Jesika tidak salah tapi Jesika dihukum itu ngk msk akal,",UgzM2m3nSMCros8dHlV4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgzM2m3nSMCros8dHlV4AaABAg,10/7/2023 4:08,0,"Saya tdk meminta Jesika di bebaskan tapi tunjukkan pada kami siapa pelaku sebenarnya apa yg terjadi sebenarnya fakta itu yg kami minta tapi jika Jesika tidak salah tapi Jesika dihukum itu ngk msk akal,",http://www.youtube.com/channel/UCC7Ztdk-U8tIgwI2PgnUV8Q
8,Lambodi Kombely,tapi klw mirna ngga di temukan sianida di tubuhnya lalau kematian mirna di anggap di bunuh aku rasa banyak orang mati habis minum kopi bukan aja minum kopi makanan bisah mematikan seseorang padahal dia sehat aja2 jadi klw emang jesica ngga terbuti untuk apa mengakui keselahan itu sama aja mengakui dosa dosa mirna yg udah mati,UgzmY7uzZIMCU-d3MDJ4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgzmY7uzZIMCU-d3MDJ4AaABAg,10/7/2023 3:36,0,tapi klw mirna ngga di temukan sianida di tubuhnya lalau kematian mirna di anggap di bunuh aku rasa banyak orang mati habis minum kopi bukan aja minum kopi makanan bisah mematikan seseorang padahal dia sehat aja2 jadi klw emang jesica ngga terbuti untuk apa mengakui keselahan itu sama aja mengakui dosa dosa mirna yg udah mati,http://www.youtube.com/channel/UC3HT0HqEoTqp32SJRBJYugA
9,Lambodi Kombely,klw ngga bersalah apa yg harus di lakukan terus harus berpura2 mengaku bersalah supanya bisah peka itu bukan bodoh tapi klw memang ngga bersalh kenapa ngga peka aja supanya negara ini bisah adil gituh klw harus mengaku yg tidak di lakukan biar aja penjara 1000 tahun pun biar duduk di penjara krna kita ngga bersalah pasti aja jalan keluarnya,UgwKobWyV55OGq8YZVV4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgwKobWyV55OGq8YZVV4AaABAg,10/7/2023 3:29,0,klw ngga bersalah apa yg harus di lakukan terus harus berpura2 mengaku bersalah supanya bisah peka itu bukan bodoh tapi klw memang ngga bersalh kenapa ngga peka aja supanya negara ini bisah adil gituh klw harus mengaku yg tidak di lakukan biar aja penjara 1000 tahun pun biar duduk di penjara krna kita ngga bersalah pasti aja jalan keluarnya,http://www.youtube.com/channel/UC3HT0HqEoTqp32SJRBJYugA
10,Afika nia,"Pelajaran dari peristiwa ini adalah : 1. Jangan pernah memesan minuman sebelum tamunya datang 2. Jangan pernah meminum minuman yg telah disediakan sebelum kita datang baik itu sahabat, teman atau siapapun itu 3. Kalo ada penjahat yg ingin melakukan tindakan dengan sekenario persisi seperti ini maka dipastikan akan lolos",Ugxmq4K3UxWteCSApIJ4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugxmq4K3UxWteCSApIJ4AaABAg,10/7/2023 0:34,0,"Pelajaran dari peristiwa ini adalah : 1. Jangan pernah memesan minuman sebelum tamunya datang 2. Jangan pernah meminum minuman yg telah disediakan sebelum kita datang baik itu sahabat, teman atau siapapun itu 3. Kalo ada penjahat yg ingin melakukan tindakan dengan sekenario persisi seperti ini maka dipastikan akan lolos",http://www.youtube.com/channel/UCS1LuAXFnSv1KBVq7KgHd2g
