Merek Gitar,Tipe Gitar,Harga (dalam jutaan),Warna
Ibanez,Akustik,11,Merah
Yamaha,Elektrik,24,Hitam
Ibanez,Bass,19,Putih
Ibanez,Bass,15,Putih
Fender,Bass,12,Hitam
Ibanez,Akustik,11,Putih
Epiphone,Bass,23,Biru
Ibanez,Bass,15,Merah
Fender,Bass,15,Hitam
Epiphone,Bass,8,Merah
Gibson,Elektrik,12,Putih
Ibanez,Elektrik,7,Putih
Fender,Bass,6,Hitam
Gibson,Akustik,16,Biru
Gibson,Elektrik,10,Coklat
Yamaha,Bass,6,Hitam
Epiphone,Elektrik,5,Coklat
Ibanez,Elektrik,16,Coklat
Fender,Akustik,16,Biru
Yamaha,Bass,21,Coklat
Epiphone,Bass,14,Coklat
Yamaha,Akustik,20,Biru
Epiphone,Akustik,19,Coklat
Epiphone,Bass,19,Coklat
Ibanez,Bass,23,Coklat
Epiphone,Akustik,16,Hitam
Yamaha,Elektrik,24,Hitam
Epiphone,Elektrik,7,Hitam
Ibanez,Akustik,9,Biru
Ibanez,Elektrik,23,Putih
Yamaha,Akustik,11,Coklat
Gibson,Elektrik,13,Coklat
Gibson,Elektrik,11,Biru
Epiphone,Bass,22,Coklat
Fender,Bass,8,Hitam
Epiphone,Elektrik,18,Putih
Yamaha,Elektrik,22,Merah
Yamaha,Bass,13,Coklat
Yamaha,Bass,6,Hitam
Yamaha,Bass,24,Merah
Yamaha,Akustik,19,Putih
Ibanez,Elektrik,11,Merah
Gibson,Bass,16,Hitam
Yamaha,Elektrik,12,Merah
Fender,Akustik,19,Biru
Fender,Akustik,7,Merah
Fender,Bass,18,Coklat
Fender,Akustik,21,Coklat
Ibanez,Elektrik,8,Biru
Fender,Bass,22,Hitam
Yamaha,Elektrik,12,Coklat
Epiphone,Elektrik,8,Putih
Fender,Akustik,6,Coklat
Ibanez,Akustik,10,Coklat
Ibanez,Akustik,14,Hitam
Fender,Akustik,8,Merah
Epiphone,Akustik,22,Coklat
Fender,Bass,16,Biru
Ibanez,Elektrik,6,Merah
Gibson,Elektrik,14,Putih
Yamaha,Elektrik,8,Hitam
Ibanez,Elektrik,18,Putih
Fender,Akustik,20,Merah
Yamaha,Elektrik,19,Merah
Fender,Bass,12,Merah
Fender,Bass,18,Putih
Gibson,Elektrik,12,Merah
Yamaha,Elektrik,20,Putih
Yamaha,Bass,17,Merah
Gibson,Bass,22,Biru
Ibanez,Akustik,19,Merah
Fender,Bass,17,Putih
Epiphone,Akustik,13,Coklat
Fender,Akustik,19,Merah
Fender,Akustik,17,Coklat
Ibanez,Akustik,5,Biru
Fender,Akustik,11,Hitam
Gibson,Elektrik,13,Biru
Gibson,Bass,5,Merah
Yamaha,Akustik,16,Coklat
Epiphone,Bass,12,Coklat
Fender,Bass,15,Putih
Fender,Akustik,23,Coklat
Ibanez,Elektrik,21,Putih
Gibson,Akustik,12,Hitam
Epiphone,Elektrik,7,Merah
Yamaha,Bass,7,Putih
Gibson,Elektrik,5,Hitam
Yamaha,Elektrik,9,Coklat
Ibanez,Elektrik,14,Coklat
Ibanez,Bass,11,Hitam
Fender,Bass,13,Coklat
Epiphone,Elektrik,11,Hitam
Yamaha,Elektrik,13,Putih
Gibson,Akustik,12,Putih
Ibanez,Elektrik,16,Hitam
Fender,Akustik,6,Putih
Fender,Elektrik,5,Putih
Yamaha,Akustik,20,Putih
Ibanez,Bass,9,Biru
